d(0, 0) = 0
d(42040, 42040) = 59453.5381622
d(42041, 42041) = 59454.9523757
d(42042, 42042) = 59456.3665893
d(42043, 42043) = 59457.7808029
d(42044, 42044) = 59459.1950164
d(42045, 42045) = 59460.60923
d(42046, 42046) = 59462.0234435
d(42047, 42047) = 59463.4376571
d(42048, 42048) = 59464.8518707
d(42049, 42049) = 59466.2660842
d(42050, 42050) = 59467.6802978
d(42051, 42051) = 59469.0945114
d(42052, 42052) = 59470.5087249
d(42053, 42053) = 59471.9229385
d(42054, 42054) = 59473.337152
d(42055, 42055) = 59474.7513656
d(42056, 42056) = 59476.1655792
d(42057, 42057) = 59477.5797927
d(42058, 42058) = 59478.9940063
d(42059, 42059) = 59480.4082199
d(42060, 42060) = 59481.8224334
d(42061, 42061) = 59483.236647
d(42062, 42062) = 59484.6508605
d(42063, 42063) = 59486.0650741
d(42064, 42064) = 59487.4792877
d(42065, 42065) = 59488.8935012
d(42066, 42066) = 59490.3077148
d(42067, 42067) = 59491.7219283
d(42068, 42068) = 59493.1361419
d(42069, 42069) = 59494.5503555
d(42070, 42070) = 59495.964569
d(42071, 42071) = 59497.3787826
d(42072, 42072) = 59498.7929962
d(42073, 42073) = 59500.2072097
d(42074, 42074) = 59501.6214233
d(42075, 42075) = 59503.0356368
d(42076, 42076) = 59504.4498504
d(42077, 42077) = 59505.864064
d(42078, 42078) = 59507.2782775
d(42079, 42079) = 59508.6924911
d(42080, 42080) = 59510.1067047
d(42081, 42081) = 59511.5209182
d(42082, 42082) = 59512.9351318
d(42083, 42083) = 59514.3493453
d(42084, 42084) = 59515.7635589
d(42085, 42085) = 59517.1777725
d(42086, 42086) = 59518.591986
d(42087, 42087) = 59520.0061996
d(42088, 42088) = 59521.4204132
d(42089, 42089) = 59522.8346267
d(42090, 42090) = 59524.2488403
d(42091, 42091) = 59525.6630538
d(42092, 42092) = 59527.0772674
d(42093, 42093) = 59528.491481
d(42094, 42094) = 59529.9056945
d(42095, 42095) = 59531.3199081
d(42096, 42096) = 59532.7341217
d(42097, 42097) = 59534.1483352
d(42098, 42098) = 59535.5625488
d(42099, 42099) = 59536.9767623
d(42100, 42100) = 59538.3909759
d(42101, 42101) = 59539.8051895
d(42102, 42102) = 59541.219403
d(42103, 42103) = 59542.6336166
d(42104, 42104) = 59544.0478302
d(42105, 42105) = 59545.4620437
d(42106, 42106) = 59546.8762573
d(42107, 42107) = 59548.2904708
d(42108, 42108) = 59549.7046844
d(42109, 42109) = 59551.118898
d(42110, 42110) = 59552.5331115
d(42111, 42111) = 59553.9473251
d(42112, 42112) = 59555.3615387
d(42113, 42113) = 59556.7757522
d(42114, 42114) = 59558.1899658
d(42115, 42115) = 59559.6041793
d(42116, 42116) = 59561.0183929
d(42117, 42117) = 59562.4326065
d(42118, 42118) = 59563.84682
d(42119, 42119) = 59565.2610336
d(42120, 42120) = 59566.6752472
d(42121, 42121) = 59568.0894607
d(42122, 42122) = 59569.5036743
d(42123, 42123) = 59570.9178878
d(42124, 42124) = 59572.3321014
d(42125, 42125) = 59573.746315
d(42126, 42126) = 59575.1605285
d(42127, 42127) = 59576.5747421
d(42128, 42128) = 59577.9889557
d(42129, 42129) = 59579.4031692
d(42130, 42130) = 59580.8173828
d(42131, 42131) = 59582.2315963
d(42132, 42132) = 59583.6458099
d(42133, 42133) = 59585.0600235
d(42134, 42134) = 59586.474237
d(42135, 42135) = 59587.8884506
d(42136, 42136) = 59589.3026642
d(42137, 42137) = 59590.7168777
d(42138, 42138) = 59592.1310913
d(42139, 42139) = 59593.5453048
d(42140, 42140) = 59594.9595184
d(42141, 42141) = 59596.373732
d(42142, 42142) = 59597.7879455
d(42143, 42143) = 59599.2021591
d(42144, 42144) = 59600.6163727
d(42145, 42145) = 59602.0305862
d(42146, 42146) = 59603.4447998
d(42147, 42147) = 59604.8590133
d(42148, 42148) = 59606.2732269
d(42149, 42149) = 59607.6874405
d(42150, 42150) = 59609.101654
d(42151, 42151) = 59610.5158676
d(42152, 42152) = 59611.9300812
d(42153, 42153) = 59613.3442947
d(42154, 42154) = 59614.7585083
d(42155, 42155) = 59616.1727218
d(42156, 42156) = 59617.5869354
d(42157, 42157) = 59619.001149
d(42158, 42158) = 59620.4153625
d(42159, 42159) = 59621.8295761
d(42160, 42160) = 59623.2437896
d(42161, 42161) = 59624.6580032
d(42162, 42162) = 59626.0722168
d(42163, 42163) = 59627.4864303
d(42164, 42164) = 59628.9006439
d(42165, 42165) = 59630.3148575
d(42166, 42166) = 59631.729071
d(42167, 42167) = 59633.1432846
d(42168, 42168) = 59634.5574981
d(42169, 42169) = 59635.9717117
d(42170, 42170) = 59637.3859253
d(42171, 42171) = 59638.8001388
d(42172, 42172) = 59640.2143524
d(42173, 42173) = 59641.628566
d(42174, 42174) = 59643.0427795
d(42175, 42175) = 59644.4569931
d(42176, 42176) = 59645.8712066
d(42177, 42177) = 59647.2854202
d(42178, 42178) = 59648.6996338
d(42179, 42179) = 59650.1138473
d(42180, 42180) = 59651.5280609
d(42181, 42181) = 59652.9422745
d(42182, 42182) = 59654.356488
d(42183, 42183) = 59655.7707016
d(42184, 42184) = 59657.1849151
d(42185, 42185) = 59658.5991287
d(42186, 42186) = 59660.0133423
d(42187, 42187) = 59661.4275558
d(42188, 42188) = 59662.8417694
d(42189, 42189) = 59664.255983
d(42190, 42190) = 59665.6701965
d(42191, 42191) = 59667.0844101
d(42192, 42192) = 59668.4986236
d(42193, 42193) = 59669.9128372
d(42194, 42194) = 59671.3270508
d(42195, 42195) = 59672.7412643
d(42196, 42196) = 59674.1554779
d(42197, 42197) = 59675.5696915
d(42198, 42198) = 59676.983905
d(42199, 42199) = 59678.3981186
d(42200, 42200) = 59679.8123321
d(42201, 42201) = 59681.2265457
d(42202, 42202) = 59682.6407593
d(42203, 42203) = 59684.0549728
d(42204, 42204) = 59685.4691864
d(42205, 42205) = 59686.8834
d(42206, 42206) = 59688.2976135
d(42207, 42207) = 59689.7118271
d(42208, 42208) = 59691.1260406
d(42209, 42209) = 59692.5402542
d(42210, 42210) = 59693.9544678
d(42211, 42211) = 59695.3686813
d(42212, 42212) = 59696.7828949
d(42213, 42213) = 59698.1971085
d(42214, 42214) = 59699.611322
d(42215, 42215) = 59701.0255356
d(42216, 42216) = 59702.4397491
d(42217, 42217) = 59703.8539627
d(42218, 42218) = 59705.2681763
d(42219, 42219) = 59706.6823898
d(42220, 42220) = 59708.0966034
d(42221, 42221) = 59709.510817
d(42222, 42222) = 59710.9250305
d(42223, 42223) = 59712.3392441
d(42224, 42224) = 59713.7534576
d(42225, 42225) = 59715.1676712
d(42226, 42226) = 59716.5818848
d(42227, 42227) = 59717.9960983
d(42228, 42228) = 59719.4103119
d(42229, 42229) = 59720.8245255
d(42230, 42230) = 59722.238739
d(42231, 42231) = 59723.6529526
d(42232, 42232) = 59725.0671661
d(42233, 42233) = 59726.4813797
d(42234, 42234) = 59727.8955933
d(42235, 42235) = 59729.3098068
d(42236, 42236) = 59730.7240204
d(42237, 42237) = 59732.138234
d(42238, 42238) = 59733.5524475
d(42239, 42239) = 59734.9666611
d(42240, 42240) = 59736.3808746
d(42241, 42241) = 59737.7950882
d(42242, 42242) = 59739.2093018
d(42243, 42243) = 59740.6235153
d(42244, 42244) = 59742.0377289
d(42245, 42245) = 59743.4519425
d(42246, 42246) = 59744.866156
d(42247, 42247) = 59746.2803696
d(42248, 42248) = 59747.6945831
d(42249, 42249) = 59749.1087967
d(42250, 42250) = 59750.5230103
d(42251, 42251) = 59751.9372238
d(42252, 42252) = 59753.3514374
d(42253, 42253) = 59754.765651
d(42254, 42254) = 59756.1798645
d(42255, 42255) = 59757.5940781
d(42256, 42256) = 59759.0082916
d(42257, 42257) = 59760.4225052
d(42258, 42258) = 59761.8367188
d(42259, 42259) = 59763.2509323
d(42260, 42260) = 59764.6651459
d(42261, 42261) = 59766.0793594
d(42262, 42262) = 59767.493573
d(42263, 42263) = 59768.9077866
d(42264, 42264) = 59770.3220001
d(42265, 42265) = 59771.7362137
d(42266, 42266) = 59773.1504273
d(42267, 42267) = 59774.5646408
d(42268, 42268) = 59775.9788544
d(42269, 42269) = 59777.3930679
d(42270, 42270) = 59778.8072815
d(42271, 42271) = 59780.2214951
d(42272, 42272) = 59781.6357086
d(42273, 42273) = 59783.0499222
d(42274, 42274) = 59784.4641358
d(42275, 42275) = 59785.8783493
d(42276, 42276) = 59787.2925629
d(42277, 42277) = 59788.7067764
d(42278, 42278) = 59790.12099
d(42279, 42279) = 59791.5352036
d(42280, 42280) = 59792.9494171
d(42281, 42281) = 59794.3636307
d(42282, 42282) = 59795.7778443
d(42283, 42283) = 59797.1920578
d(42284, 42284) = 59798.6062714
d(42285, 42285) = 59800.0204849
d(42286, 42286) = 59801.4346985
d(42287, 42287) = 59802.8489121
d(42288, 42288) = 59804.2631256
d(42289, 42289) = 59805.6773392
d(42290, 42290) = 59807.0915528
d(42291, 42291) = 59808.5057663
d(42292, 42292) = 59809.9199799
d(42293, 42293) = 59811.3341934
d(42294, 42294) = 59812.748407
d(42295, 42295) = 59814.1626206
d(42296, 42296) = 59815.5768341
d(42297, 42297) = 59816.9910477
d(42298, 42298) = 59818.4052613
d(42299, 42299) = 59819.8194748
d(42300, 42300) = 59821.2336884
d(42301, 42301) = 59822.6479019
d(42302, 42302) = 59824.0621155
d(42303, 42303) = 59825.4763291
d(42304, 42304) = 59826.8905426
d(42305, 42305) = 59828.3047562
d(42306, 42306) = 59829.7189698
d(42307, 42307) = 59831.1331833
d(42308, 42308) = 59832.5473969
d(42309, 42309) = 59833.9616104
d(42310, 42310) = 59835.375824
d(42311, 42311) = 59836.7900376
d(42312, 42312) = 59838.2042511
d(42313, 42313) = 59839.6184647
d(42314, 42314) = 59841.0326783
d(42315, 42315) = 59842.4468918
d(42316, 42316) = 59843.8611054
d(42317, 42317) = 59845.2753189
d(42318, 42318) = 59846.6895325
d(42319, 42319) = 59848.1037461
d(42320, 42320) = 59849.5179596
d(42321, 42321) = 59850.9321732
d(42322, 42322) = 59852.3463868
d(42323, 42323) = 59853.7606003
d(42324, 42324) = 59855.1748139
d(42325, 42325) = 59856.5890274
d(42326, 42326) = 59858.003241
d(42327, 42327) = 59859.4174546
d(42328, 42328) = 59860.8316681
d(42329, 42329) = 59862.2458817
d(42330, 42330) = 59863.6600953
d(42331, 42331) = 59865.0743088
d(42332, 42332) = 59866.4885224
d(42333, 42333) = 59867.9027359
d(42334, 42334) = 59869.3169495
d(42335, 42335) = 59870.7311631
d(42336, 42336) = 59872.1453766
d(42337, 42337) = 59873.5595902
d(42338, 42338) = 59874.9738038
d(42339, 42339) = 59876.3880173
d(42340, 42340) = 59877.8022309
d(42341, 42341) = 59879.2164444
d(42342, 42342) = 59880.630658
d(42343, 42343) = 59882.0448716
d(42344, 42344) = 59883.4590851
d(42345, 42345) = 59884.8732987
d(42346, 42346) = 59886.2875123
d(42347, 42347) = 59887.7017258
d(42348, 42348) = 59889.1159394
d(42349, 42349) = 59890.5301529
d(42350, 42350) = 59891.9443665
d(42351, 42351) = 59893.3585801
d(42352, 42352) = 59894.7727936
d(42353, 42353) = 59896.1870072
d(42354, 42354) = 59897.6012208
d(42355, 42355) = 59899.0154343
d(42356, 42356) = 59900.4296479
d(42357, 42357) = 59901.8438614
d(42358, 42358) = 59903.258075
d(42359, 42359) = 59904.6722886
d(42360, 42360) = 59906.0865021
d(42361, 42361) = 59907.5007157
d(42362, 42362) = 59908.9149292
d(42363, 42363) = 59910.3291428
d(42364, 42364) = 59911.7433564
d(42365, 42365) = 59913.1575699
d(42366, 42366) = 59914.5717835
d(42367, 42367) = 59915.9859971
d(42368, 42368) = 59917.4002106
d(42369, 42369) = 59918.8144242
d(42370, 42370) = 59920.2286377
d(42371, 42371) = 59921.6428513
d(42372, 42372) = 59923.0570649
d(42373, 42373) = 59924.4712784
d(42374, 42374) = 59925.885492
d(42375, 42375) = 59927.2997056
d(42376, 42376) = 59928.7139191
d(42377, 42377) = 59930.1281327
d(42378, 42378) = 59931.5423462
d(42379, 42379) = 59932.9565598
d(42380, 42380) = 59934.3707734
d(42381, 42381) = 59935.7849869
d(42382, 42382) = 59937.1992005
d(42383, 42383) = 59938.6134141
d(42384, 42384) = 59940.0276276
d(42385, 42385) = 59941.4418412
d(42386, 42386) = 59942.8560547
d(42387, 42387) = 59944.2702683
d(42388, 42388) = 59945.6844819
d(42389, 42389) = 59947.0986954
d(42390, 42390) = 59948.512909
d(42391, 42391) = 59949.9271226
d(42392, 42392) = 59951.3413361
d(42393, 42393) = 59952.7555497
d(42394, 42394) = 59954.1697632
d(42395, 42395) = 59955.5839768
d(42396, 42396) = 59956.9981904
d(42397, 42397) = 59958.4124039
d(42398, 42398) = 59959.8266175
d(42399, 42399) = 59961.2408311
d(42400, 42400) = 59962.6550446
d(42401, 42401) = 59964.0692582
d(42402, 42402) = 59965.4834717
d(42403, 42403) = 59966.8976853
d(42404, 42404) = 59968.3118989
d(42405, 42405) = 59969.7261124
d(42406, 42406) = 59971.140326
d(42407, 42407) = 59972.5545396
d(42408, 42408) = 59973.9687531
d(42409, 42409) = 59975.3829667
d(42410, 42410) = 59976.7971802
d(42411, 42411) = 59978.2113938
d(42412, 42412) = 59979.6256074
d(42413, 42413) = 59981.0398209
d(42414, 42414) = 59982.4540345
d(42415, 42415) = 59983.8682481
d(42416, 42416) = 59985.2824616
d(42417, 42417) = 59986.6966752
d(42418, 42418) = 59988.1108887
d(42419, 42419) = 59989.5251023
d(42420, 42420) = 59990.9393159
d(42421, 42421) = 59992.3535294
d(42422, 42422) = 59993.767743
d(42423, 42423) = 59995.1819566
d(42424, 42424) = 59996.5961701
d(42425, 42425) = 59998.0103837
d(42426, 42426) = 59999.4245972
d(42427, 42427) = 60000.8388108
d(42428, 42428) = 60002.2530244
d(42429, 42429) = 60003.6672379
d(42430, 42430) = 60005.0814515
d(42431, 42431) = 60006.4956651
d(42432, 42432) = 60007.9098786
d(42433, 42433) = 60009.3240922
d(42434, 42434) = 60010.7383057
d(42435, 42435) = 60012.1525193
d(42436, 42436) = 60013.5667329
d(42437, 42437) = 60014.9809464
d(42438, 42438) = 60016.39516
d(42439, 42439) = 60017.8093736
d(42440, 42440) = 60019.2235871
d(42441, 42441) = 60020.6378007
d(42442, 42442) = 60022.0520142
d(42443, 42443) = 60023.4662278
d(42444, 42444) = 60024.8804414
d(42445, 42445) = 60026.2946549
d(42446, 42446) = 60027.7088685
d(42447, 42447) = 60029.1230821
d(42448, 42448) = 60030.5372956
d(42449, 42449) = 60031.9515092
d(42450, 42450) = 60033.3657227
d(42451, 42451) = 60034.7799363
d(42452, 42452) = 60036.1941499
d(42453, 42453) = 60037.6083634
d(42454, 42454) = 60039.022577
d(42455, 42455) = 60040.4367905
d(42456, 42456) = 60041.8510041
d(42457, 42457) = 60043.2652177
d(42458, 42458) = 60044.6794312
d(42459, 42459) = 60046.0936448
d(42460, 42460) = 60047.5078584
d(42461, 42461) = 60048.9220719
d(42462, 42462) = 60050.3362855
d(42463, 42463) = 60051.750499
d(42464, 42464) = 60053.1647126
d(42465, 42465) = 60054.5789262
d(42466, 42466) = 60055.9931397
d(42467, 42467) = 60057.4073533
d(42468, 42468) = 60058.8215669
d(42469, 42469) = 60060.2357804
d(42470, 42470) = 60061.649994
d(42471, 42471) = 60063.0642075
d(42472, 42472) = 60064.4784211
d(42473, 42473) = 60065.8926347
d(42474, 42474) = 60067.3068482
d(42475, 42475) = 60068.7210618
d(42476, 42476) = 60070.1352754
d(42477, 42477) = 60071.5494889
d(42478, 42478) = 60072.9637025
d(42479, 42479) = 60074.377916
d(42480, 42480) = 60075.7921296
d(42481, 42481) = 60077.2063432
d(42482, 42482) = 60078.6205567
d(42483, 42483) = 60080.0347703
d(42484, 42484) = 60081.4489839
d(42485, 42485) = 60082.8631974
d(42486, 42486) = 60084.277411
d(42487, 42487) = 60085.6916245
d(42488, 42488) = 60087.1058381
d(42489, 42489) = 60088.5200517
d(42490, 42490) = 60089.9342652
d(42491, 42491) = 60091.3484788
d(42492, 42492) = 60092.7626924
d(42493, 42493) = 60094.1769059
d(42494, 42494) = 60095.5911195
d(42495, 42495) = 60097.005333
d(42496, 42496) = 60098.4195466
d(42497, 42497) = 60099.8337602
d(42498, 42498) = 60101.2479737
d(42499, 42499) = 60102.6621873
d(42500, 42500) = 60104.0764009
d(42501, 42501) = 60105.4906144
d(42502, 42502) = 60106.904828
d(42503, 42503) = 60108.3190415
d(42504, 42504) = 60109.7332551
d(42505, 42505) = 60111.1474687
d(42506, 42506) = 60112.5616822
d(42507, 42507) = 60113.9758958
d(42508, 42508) = 60115.3901094
d(42509, 42509) = 60116.8043229
d(42510, 42510) = 60118.2185365
d(42511, 42511) = 60119.63275
d(42512, 42512) = 60121.0469636
d(42513, 42513) = 60122.4611772
d(42514, 42514) = 60123.8753907
d(42515, 42515) = 60125.2896043
d(42516, 42516) = 60126.7038179
d(42517, 42517) = 60128.1180314
d(42518, 42518) = 60129.532245
d(42519, 42519) = 60130.9464585
d(42520, 42520) = 60132.3606721
d(42521, 42521) = 60133.7748857
d(42522, 42522) = 60135.1890992
d(42523, 42523) = 60136.6033128
d(42524, 42524) = 60138.0175264
d(42525, 42525) = 60139.4317399
d(42526, 42526) = 60140.8459535
d(42527, 42527) = 60142.260167
d(42528, 42528) = 60143.6743806
d(42529, 42529) = 60145.0885942
d(42530, 42530) = 60146.5028077
d(42531, 42531) = 60147.9170213
d(42532, 42532) = 60149.3312349
d(42533, 42533) = 60150.7454484
d(42534, 42534) = 60152.159662
d(42535, 42535) = 60153.5738755
d(42536, 42536) = 60154.9880891
d(42537, 42537) = 60156.4023027
d(42538, 42538) = 60157.8165162
d(42539, 42539) = 60159.2307298
d(42540, 42540) = 60160.6449434
d(42541, 42541) = 60162.0591569
d(42542, 42542) = 60163.4733705
d(42543, 42543) = 60164.887584
d(42544, 42544) = 60166.3017976
d(42545, 42545) = 60167.7160112
d(42546, 42546) = 60169.1302247
d(42547, 42547) = 60170.5444383
d(42548, 42548) = 60171.9586519
d(42549, 42549) = 60173.3728654
d(42550, 42550) = 60174.787079
d(42551, 42551) = 60176.2012925
d(42552, 42552) = 60177.6155061
d(42553, 42553) = 60179.0297197
d(42554, 42554) = 60180.4439332
d(42555, 42555) = 60181.8581468
d(42556, 42556) = 60183.2723603
d(42557, 42557) = 60184.6865739
d(42558, 42558) = 60186.1007875
d(42559, 42559) = 60187.515001
d(42560, 42560) = 60188.9292146
d(42561, 42561) = 60190.3434282
d(42562, 42562) = 60191.7576417
d(42563, 42563) = 60193.1718553
d(42564, 42564) = 60194.5860688
d(42565, 42565) = 60196.0002824
d(42566, 42566) = 60197.414496
d(42567, 42567) = 60198.8287095
d(42568, 42568) = 60200.2429231
d(42569, 42569) = 60201.6571367
d(42570, 42570) = 60203.0713502
d(42571, 42571) = 60204.4855638
d(42572, 42572) = 60205.8997773
d(42573, 42573) = 60207.3139909
d(42574, 42574) = 60208.7282045
d(42575, 42575) = 60210.142418
d(42576, 42576) = 60211.5566316
d(42577, 42577) = 60212.9708452
d(42578, 42578) = 60214.3850587
d(42579, 42579) = 60215.7992723
d(42580, 42580) = 60217.2134858
d(42581, 42581) = 60218.6276994
d(42582, 42582) = 60220.041913
d(42583, 42583) = 60221.4561265
d(42584, 42584) = 60222.8703401
d(42585, 42585) = 60224.2845537
d(42586, 42586) = 60225.6987672
d(42587, 42587) = 60227.1129808
d(42588, 42588) = 60228.5271943
d(42589, 42589) = 60229.9414079
d(42590, 42590) = 60231.3556215
d(42591, 42591) = 60232.769835
d(42592, 42592) = 60234.1840486
d(42593, 42593) = 60235.5982622
d(42594, 42594) = 60237.0124757
d(42595, 42595) = 60238.4266893
d(42596, 42596) = 60239.8409028
d(42597, 42597) = 60241.2551164
d(42598, 42598) = 60242.66933
d(42599, 42599) = 60244.0835435
d(42600, 42600) = 60245.4977571
d(42601, 42601) = 60246.9119707
d(42602, 42602) = 60248.3261842
d(42603, 42603) = 60249.7403978
d(42604, 42604) = 60251.1546113
d(42605, 42605) = 60252.5688249
d(42606, 42606) = 60253.9830385
d(42607, 42607) = 60255.397252
d(42608, 42608) = 60256.8114656
d(42609, 42609) = 60258.2256792
d(42610, 42610) = 60259.6398927
d(42611, 42611) = 60261.0541063
d(42612, 42612) = 60262.4683198
d(42613, 42613) = 60263.8825334
d(42614, 42614) = 60265.296747
d(42615, 42615) = 60266.7109605
d(42616, 42616) = 60268.1251741
d(42617, 42617) = 60269.5393877
d(42618, 42618) = 60270.9536012
d(42619, 42619) = 60272.3678148
d(42620, 42620) = 60273.7820283
d(42621, 42621) = 60275.1962419
d(42622, 42622) = 60276.6104555
d(42623, 42623) = 60278.024669
d(42624, 42624) = 60279.4388826
d(42625, 42625) = 60280.8530962
d(42626, 42626) = 60282.2673097
d(42627, 42627) = 60283.6815233
d(42628, 42628) = 60285.0957368
d(42629, 42629) = 60286.5099504
d(42630, 42630) = 60287.924164
d(42631, 42631) = 60289.3383775
d(42632, 42632) = 60290.7525911
d(42633, 42633) = 60292.1668047
d(42634, 42634) = 60293.5810182
d(42635, 42635) = 60294.9952318
d(42636, 42636) = 60296.4094453
d(42637, 42637) = 60297.8236589
d(42638, 42638) = 60299.2378725
d(42639, 42639) = 60300.652086
d(42640, 42640) = 60302.0662996
d(42641, 42641) = 60303.4805132
d(42642, 42642) = 60304.8947267
d(42643, 42643) = 60306.3089403
d(42644, 42644) = 60307.7231538
d(42645, 42645) = 60309.1373674
d(42646, 42646) = 60310.551581
d(42647, 42647) = 60311.9657945
d(42648, 42648) = 60313.3800081
d(42649, 42649) = 60314.7942217
d(42650, 42650) = 60316.2084352
d(42651, 42651) = 60317.6226488
d(42652, 42652) = 60319.0368623
d(42653, 42653) = 60320.4510759
d(42654, 42654) = 60321.8652895
d(42655, 42655) = 60323.279503
d(42656, 42656) = 60324.6937166
d(42657, 42657) = 60326.1079301
d(42658, 42658) = 60327.5221437
d(42659, 42659) = 60328.9363573
d(42660, 42660) = 60330.3505708
d(42661, 42661) = 60331.7647844
d(42662, 42662) = 60333.178998
d(42663, 42663) = 60334.5932115
d(42664, 42664) = 60336.0074251
d(42665, 42665) = 60337.4216386
d(42666, 42666) = 60338.8358522
d(42667, 42667) = 60340.2500658
d(42668, 42668) = 60341.6642793
d(42669, 42669) = 60343.0784929
d(42670, 42670) = 60344.4927065
d(42671, 42671) = 60345.90692
d(42672, 42672) = 60347.3211336
d(42673, 42673) = 60348.7353471
d(42674, 42674) = 60350.1495607
d(42675, 42675) = 60351.5637743
d(42676, 42676) = 60352.9779878
d(42677, 42677) = 60354.3922014
d(42678, 42678) = 60355.806415
d(42679, 42679) = 60357.2206285
d(42680, 42680) = 60358.6348421
d(42681, 42681) = 60360.0490556
d(42682, 42682) = 60361.4632692
d(42683, 42683) = 60362.8774828
d(42684, 42684) = 60364.2916963
d(42685, 42685) = 60365.7059099
d(42686, 42686) = 60367.1201235
d(42687, 42687) = 60368.534337
d(42688, 42688) = 60369.9485506
d(42689, 42689) = 60371.3627641
d(42690, 42690) = 60372.7769777
d(42691, 42691) = 60374.1911913
d(42692, 42692) = 60375.6054048
d(42693, 42693) = 60377.0196184
d(42694, 42694) = 60378.433832
d(42695, 42695) = 60379.8480455
d(42696, 42696) = 60381.2622591
d(42697, 42697) = 60382.6764726
d(42698, 42698) = 60384.0906862
d(42699, 42699) = 60385.5048998
d(42700, 42700) = 60386.9191133
d(42701, 42701) = 60388.3333269
d(42702, 42702) = 60389.7475405
d(42703, 42703) = 60391.161754
d(42704, 42704) = 60392.5759676
d(42705, 42705) = 60393.9901811
d(42706, 42706) = 60395.4043947
d(42707, 42707) = 60396.8186083
d(42708, 42708) = 60398.2328218
d(42709, 42709) = 60399.6470354
d(42710, 42710) = 60401.061249
d(42711, 42711) = 60402.4754625
d(42712, 42712) = 60403.8896761
d(42713, 42713) = 60405.3038896
d(42714, 42714) = 60406.7181032
d(42715, 42715) = 60408.1323168
d(42716, 42716) = 60409.5465303
d(42717, 42717) = 60410.9607439
d(42718, 42718) = 60412.3749575
d(42719, 42719) = 60413.789171
d(42720, 42720) = 60415.2033846
d(42721, 42721) = 60416.6175981
d(42722, 42722) = 60418.0318117
d(42723, 42723) = 60419.4460253
d(42724, 42724) = 60420.8602388
d(42725, 42725) = 60422.2744524
d(42726, 42726) = 60423.688666
d(42727, 42727) = 60425.1028795
d(42728, 42728) = 60426.5170931
d(42729, 42729) = 60427.9313066
d(42730, 42730) = 60429.3455202
d(42731, 42731) = 60430.7597338
d(42732, 42732) = 60432.1739473
d(42733, 42733) = 60433.5881609
d(42734, 42734) = 60435.0023745
d(42735, 42735) = 60436.416588
d(42736, 42736) = 60437.8308016
d(42737, 42737) = 60439.2450151
d(42738, 42738) = 60440.6592287
d(42739, 42739) = 60442.0734423
d(42740, 42740) = 60443.4876558
d(42741, 42741) = 60444.9018694
d(42742, 42742) = 60446.316083
d(42743, 42743) = 60447.7302965
d(42744, 42744) = 60449.1445101
d(42745, 42745) = 60450.5587236
d(42746, 42746) = 60451.9729372
d(42747, 42747) = 60453.3871508
d(42748, 42748) = 60454.8013643
d(42749, 42749) = 60456.2155779
d(42750, 42750) = 60457.6297914
d(42751, 42751) = 60459.044005
d(42752, 42752) = 60460.4582186
d(42753, 42753) = 60461.8724321
d(42754, 42754) = 60463.2866457
d(42755, 42755) = 60464.7008593
d(42756, 42756) = 60466.1150728
d(42757, 42757) = 60467.5292864
d(42758, 42758) = 60468.9434999
d(42759, 42759) = 60470.3577135
d(42760, 42760) = 60471.7719271
d(42761, 42761) = 60473.1861406
d(42762, 42762) = 60474.6003542
d(42763, 42763) = 60476.0145678
d(42764, 42764) = 60477.4287813
d(42765, 42765) = 60478.8429949
d(42766, 42766) = 60480.2572084
d(42767, 42767) = 60481.671422
d(42768, 42768) = 60483.0856356
d(42769, 42769) = 60484.4998491
d(42770, 42770) = 60485.9140627
d(42771, 42771) = 60487.3282763
d(42772, 42772) = 60488.7424898
d(42773, 42773) = 60490.1567034
d(42774, 42774) = 60491.5709169
d(42775, 42775) = 60492.9851305
d(42776, 42776) = 60494.3993441
d(42777, 42777) = 60495.8135576
d(42778, 42778) = 60497.2277712
d(42779, 42779) = 60498.6419848
d(42780, 42780) = 60500.0561983
d(42781, 42781) = 60501.4704119
d(42782, 42782) = 60502.8846254
d(42783, 42783) = 60504.298839
d(42784, 42784) = 60505.7130526
d(42785, 42785) = 60507.1272661
d(42786, 42786) = 60508.5414797
d(42787, 42787) = 60509.9556933
d(42788, 42788) = 60511.3699068
d(42789, 42789) = 60512.7841204
d(42790, 42790) = 60514.1983339
d(42791, 42791) = 60515.6125475
d(42792, 42792) = 60517.0267611
d(42793, 42793) = 60518.4409746
d(42794, 42794) = 60519.8551882
d(42795, 42795) = 60521.2694018
d(42796, 42796) = 60522.6836153
d(42797, 42797) = 60524.0978289
d(42798, 42798) = 60525.5120424
d(42799, 42799) = 60526.926256
d(42800, 42800) = 60528.3404696
d(42801, 42801) = 60529.7546831
d(42802, 42802) = 60531.1688967
d(42803, 42803) = 60532.5831103
d(42804, 42804) = 60533.9973238
d(42805, 42805) = 60535.4115374
d(42806, 42806) = 60536.8257509
d(42807, 42807) = 60538.2399645
d(42808, 42808) = 60539.6541781
d(42809, 42809) = 60541.0683916
d(42810, 42810) = 60542.4826052
d(42811, 42811) = 60543.8968188
d(42812, 42812) = 60545.3110323
d(42813, 42813) = 60546.7252459
d(42814, 42814) = 60548.1394594
d(42815, 42815) = 60549.553673
d(42816, 42816) = 60550.9678866
d(42817, 42817) = 60552.3821001
d(42818, 42818) = 60553.7963137
d(42819, 42819) = 60555.2105273
d(42820, 42820) = 60556.6247408
